text,label
I was charged $49 twice on my Visa card this month.,billing
There is an unexpected fee of $9.99 on my latest bill.,billing
I was charged $9.99 twice on my Visa card this month.,billing
There is an unexpected fee of $19.99 on my latest bill.,billing
What are your customer support working hours?,general
The app crashes every time I open the billing page.,account
The export button does nothing and throws error 403.,account
I get an error code 500 when I try to log in.,account
"I cannot reset my password, the email never arrives.",account
My subscription renewed but I wanted to cancel the billing.,billing
Do you offer a discount for students or non profits?,general
How do I enable two factor authentication on my profile?,account
I was charged $19.99 twice on my Mastercard card this month.,billing
The application is running slow and freezing frequently.,technical
I would like to share some feedback about your service.,general
Sync keeps failing between my phone and the web settings.,account
There is an unexpected fee of $19.99 on my latest bill.,billing
I am experiencing issues with the calendar functionality.,technical
The API is returning a 500 error when I make a request.,technical
I need a refund for the duplicate payment of $120.,billing
The software is not compatible with my operating system.,technical
Sync keeps failing between my phone and the web calendar.,account
What are your customer support working hours?,general
The software is not compatible with my operating system.,technical
Can you tell me more about the Pro plan features?,general
The software is not compatible with my operating system.,technical
I was charged $19.99 twice on my Amex card this month.,billing
Can you tell me more about the Basic plan features?,general
Can you tell me more about the Pro plan features?,general
I was charged $5 twice on my Mastercard card this month.,billing
I get an error code TIMEOUT when I try to log in.,account
Do you offer a discount for students or non profits?,general
I want to delete my account and all of my data.,account
I need a refund for the duplicate payment of $5.,billing
The API is returning a 403 error when I make a request.,technical
There is an unexpected fee of $49 on my latest bill.,billing
I need a refund for the duplicate payment of $49.,billing
The software is not compatible with my operating system.,technical
My subscription renewed but I wanted to cancel the billing.,billing
I am experiencing issues with the calendar functionality.,technical
The API is returning a NULL_REF error when I make a request.,technical
The API is returning a NULL_REF error when I make a request.,technical
My account is locked after too many login attempts.,account
Do you offer a discount for students or non profits?,general
I need a refund for the duplicate payment of $9.99.,billing
The software is not compatible with my operating system.,technical
I was charged $19.99 twice on my Visa card this month.,billing
I get an error code 403 when I try to log in.,account
What are your customer support working hours?,general
What are your customer support working hours?,general
What are your customer support working hours?,general
Please help me change the email address on my account.,account
I was charged $9.99 twice on my Mastercard card this month.,billing
Why is my invoice higher than the Basic plan price?,billing
What are your customer support working hours?,general
My account is locked after too many login attempts.,account
My subscription renewed but I wanted to cancel the billing.,billing
I was charged $5 twice on my Visa card this month.,billing
I am experiencing issues with the calendar functionality.,technical
There is a bug in the reports that needs to be fixed.,technical
My subscription renewed but I wanted to cancel the billing.,billing
I would like to share some feedback about your service.,general
What are your customer support working hours?,general
The application is running slow and freezing frequently.,technical
I need a refund for the duplicate payment of $9.99.,general
The application is running slow and freezing frequently.,technical
Why is my invoice higher than the Basic plan price?,billing
There is a bug in the reports that needs to be fixed.,technical
The software is not compatible with my operating system.,technical
My subscription renewed but I wanted to cancel the billing.,billing
The export button does nothing and throws error 403.,account
Sync keeps failing between my phone and the web settings.,account
My account is locked after too many login attempts.,account
I was charged $120 twice on my Amex card this month.,billing
I was charged $5 twice on my Visa card this month.,billing
The API is returning a 500 error when I make a request.,technical
The export button does nothing and throws error 403.,account
How do I enable two factor authentication on my profile?,account
There is an unexpected fee of $49 on my latest bill.,billing
Why is my invoice higher than the Pro plan price?,billing
There is an unexpected fee of $19.99 on my latest bill.,billing
The API is returning a 403 error when I make a request.,technical
I want to delete my account and all of my data.,account
I was charged $120 twice on my Mastercard card this month.,account
The API is returning a 403 error when I make a request.,technical
Can you tell me more about the Basic plan features?,general
The software is not compatible with my operating system.,account
There is a bug in the billing that needs to be fixed.,account
I need a refund for the duplicate payment of $19.99.,billing
I need a refund for the duplicate payment of $5.,billing
Can you tell me more about the Enterprise plan features?,general
I am experiencing issues with the billing functionality.,technical
Why is my invoice higher than the Enterprise plan price?,billing
What are your customer support working hours?,general
My subscription renewed but I wanted to cancel the billing.,billing
What are your customer support working hours?,general
I would like to share some feedback about your service.,general
I am experiencing issues with the reports functionality.,technical
I would like to share some feedback about your service.,general
I need a refund for the duplicate payment of $49.,billing
Can you tell me more about the Pro plan features?,general
I need a refund for the duplicate payment of $19.99.,billing
The app crashes every time I open the reports page.,account
"I cannot reset my password, the email never arrives.",account
My subscription renewed but I wanted to cancel the billing.,billing
The API is returning a 500 error when I make a request.,technical
There is an unexpected fee of $5 on my latest bill.,billing
The API is returning a NULL_REF error when I make a request.,account
I get an error code TIMEOUT when I try to log in.,account
I would like to share some feedback about your service.,general
I want to delete my account and all of my data.,account
Is there a mobile app available for billing?,general
Please help me change the email address on my account.,account
I need a refund for the duplicate payment of $49.,billing
My account is locked after too many login attempts.,account
The software is not compatible with my operating system.,technical
The application is running slow and freezing frequently.,technical
I get an error code 403 when I try to log in.,account
I am experiencing issues with the billing functionality.,technical
