text,label
why is my invoice higher than the enterprise plan price?,billing
i get an error code 500 when i try to log in.,general
"i cannot reset my password, the email never arrives.",account
is there a mobile app available for calendar?,general
i would like to share some feedback about your service.,general
please help me change the email address on my account.,account
my account is locked after too many login attempts.,account
my account is locked after too many login attempts.,account
i would like to share some feedback about your service.,general
i want to delete my account and all of my data.,account
my account is locked after too many login attempts.,account
there is an unexpected fee of $9.99 on my latest bill.,billing
my subscription renewed but i wanted to cancel the billing.,billing
my subscription renewed but i wanted to cancel the billing.,billing
i was charged $19.99 twice on my mastercard card this month.,billing
i was charged $120 twice on my visa card this month.,billing
can you tell me more about the basic plan features?,general
why is my invoice higher than the pro plan price?,billing
how do i enable two factor authentication on my profile?,account
please help me change the email address on my account.,account
there is an unexpected fee of $120 on my latest bill.,billing
why is my invoice higher than the enterprise plan price?,billing
do you offer a discount for students or non profits?,general
what are your customer support working hours?,general
i was charged $19.99 twice on my visa card this month.,billing
i was charged $19.99 twice on my mastercard card this month.,billing
i am experiencing issues with the settings functionality.,technical
the software is not compatible with my operating system.,technical
i would like to share some feedback about your service.,general
what are your customer support working hours?,general
there is an unexpected fee of $5 on my latest bill.,billing
there is a bug in the billing that needs to be fixed.,technical
there is a bug in the calendar that needs to be fixed.,technical
the app crashes every time i open the calendar page.,account
i was charged $19.99 twice on my visa card this month.,billing
can you tell me more about the basic plan features?,general
the software is not compatible with my operating system.,technical
the export button does nothing and throws error null_ref.,account
i would like to share some feedback about your service.,general
there is an unexpected fee of $5 on my latest bill.,billing
i would like to share some feedback about your service.,general
i would like to share some feedback about your service.,general
i was charged $5 twice on my amex card this month.,billing
the software is not compatible with my operating system.,technical
i am experiencing issues with the calendar functionality.,technical
the app crashes every time i open the settings page.,account
i get an error code 403 when i try to log in.,account
there is a bug in the settings that needs to be fixed.,technical
do you offer a discount for students or non profits?,general
i need a refund for the duplicate payment of $49.,account
is there a mobile app available for settings?,general
can you tell me more about the basic plan features?,general
there is an unexpected fee of $120 on my latest bill.,billing
i need a refund for the duplicate payment of $120.,billing
there is a bug in the billing that needs to be fixed.,technical
my subscription renewed but i wanted to cancel the billing.,billing
the api is returning a 403 error when i make a request.,technical
there is an unexpected fee of $120 on my latest bill.,billing
i was charged $120 twice on my mastercard card this month.,account
the software is not compatible with my operating system.,technical
there is a bug in the calendar that needs to be fixed.,technical
my subscription renewed but i wanted to cancel the billing.,billing
the dashboard is not loading after the latest update.,account
i am experiencing issues with the billing functionality.,technical
the app crashes every time i open the billing page.,account
what are your customer support working hours?,general
please help me change the email address on my account.,account
what are your customer support working hours?,general
i was charged $19.99 twice on my visa card this month.,billing
"i cannot reset my password, the email never arrives.",account
i was charged $5 twice on my visa card this month.,billing
i was charged $5 twice on my mastercard card this month.,billing
i was charged $120 twice on my mastercard card this month.,billing
do you offer a discount for students or non profits?,general
my account is locked after too many login attempts.,account
my account is locked after too many login attempts.,account
what are your customer support working hours?,general
i want to delete my account and all of my data.,account
there is a bug in the settings that needs to be fixed.,technical
the api is returning a timeout error when i make a request.,technical
my subscription renewed but i wanted to cancel the billing.,billing
i get an error code null_ref when i try to log in.,general
i would like to share some feedback about your service.,technical
there is a bug in the calendar that needs to be fixed.,technical
what are your customer support working hours?,general
can you tell me more about the basic plan features?,general
the api is returning a 500 error when i make a request.,billing
the export button does nothing and throws error null_ref.,account
there is an unexpected fee of $120 on my latest bill.,billing
the dashboard is not loading after the latest update.,account
my account is locked after too many login attempts.,account
i was charged $19.99 twice on my amex card this month.,billing
the export button does nothing and throws error null_ref.,account
there is an unexpected fee of $120 on my latest bill.,billing
why is my invoice higher than the enterprise plan price?,billing
my subscription renewed but i wanted to cancel the billing.,billing
please help me change the email address on my account.,general
there is a bug in the calendar that needs to be fixed.,technical
the software is not compatible with my operating system.,technical
my account is locked after too many login attempts.,account
i get an error code 403 when i try to log in.,general
what are your customer support working hours?,general
sync keeps failing between my phone and the web reports.,account
my account is locked after too many login attempts.,account
the application is running slow and freezing frequently.,technical
my subscription renewed but i wanted to cancel the billing.,billing
sync keeps failing between my phone and the web calendar.,account
the software is not compatible with my operating system.,technical
how do i enable two factor authentication on my profile?,account
why is my invoice higher than the pro plan price?,billing
the software is not compatible with my operating system.,technical
is there a mobile app available for settings?,general
my subscription renewed but i wanted to cancel the billing.,billing
i want to delete my account and all of my data.,account
is there a mobile app available for reports?,general
there is a bug in the reports that needs to be fixed.,technical
the software is not compatible with my operating system.,technical
"i cannot reset my password, the email never arrives.",billing
there is a bug in the billing that needs to be fixed.,technical
please help me change the email address on my account.,account
there is an unexpected fee of $5 on my latest bill.,billing
my subscription renewed but i wanted to cancel the billing.,billing
do you offer a discount for students or non profits?,general
why is my invoice higher than the basic plan price?,billing
my subscription renewed but i wanted to cancel the billing.,billing
i need a refund for the duplicate payment of $120.,technical
i was charged $120 twice on my mastercard card this month.,billing
why is my invoice higher than the enterprise plan price?,billing
i would like to share some feedback about your service.,general
my subscription renewed but i wanted to cancel the billing.,billing
how do i enable two factor authentication on my profile?,account
the api is returning a timeout error when i make a request.,technical
the api is returning a null_ref error when i make a request.,technical
i was charged $120 twice on my mastercard card this month.,billing
how do i enable two factor authentication on my profile?,account
can you tell me more about the enterprise plan features?,general
is there a mobile app available for billing?,general
please help me change the email address on my account.,general
the software is not compatible with my operating system.,technical
i would like to share some feedback about your service.,general
